text	label	rationale_label
The Kathmandu Airport has resumed service now. Here are some important details for your reference: http://t.co/o82D46VV44	infrastructure_and_utilities_damage	the§§§0.11 kathmandu§§§0.12 airport§§§0.12 has§§§0.11 resumed§§§0.12 service§§§0.11 now§§§0.08 .§§§0.0 here§§§0.0 are§§§0.0 some§§§0.0 important§§§0.0 details§§§0.0 for§§§0.0 your§§§0.0 reference§§§0.0
We'll all be praying #PrayForNepal Ὁ0 Stay strong and don't give up ✌ἿB️ὤFἿB http://t.co/940t3HWY3a	not_related_or_irrelevant	we'll§§§0.04 all§§§0.04 be§§§0.04 praying§§§0.04 #prayfornepal§§§0.04 ὁ0§§§0.04 stay§§§0.04 strong§§§0.04 and§§§0.04 don't§§§0.04 give§§§0.04 up§§§0.04 ✌ἷb️ὤfἷb§§§0.04
From Delhi to Kochi: Impact of Nepal earthquake across India  http://t.co/3DlEDhIY1E	other_useful_information	from§§§0.0 delhi§§§0.0 to§§§0.0 kochi§§§0.0 :§§§0.0 impact§§§0.14 of§§§0.14 nepal§§§0.15 earthquake§§§0.14 across§§§0.14 india§§§0.14
RT @ShivAroor: That scary swimming pool CCTV video everyone is sharing is fake. Not from Nepal.	not_related_or_irrelevant	that§§§0.05 scary§§§0.06 swimming§§§0.06 pool§§§0.06 cctv§§§0.06 video§§§0.06 everyone§§§0.06 is§§§0.05 sharing§§§0.06 is§§§0.06 fake§§§0.06 .§§§0.05 not§§§0.05 from§§§0.06 nepal§§§0.06 .§§§0.05
"RT @nepalitimes: After 82 hours,Rishi Khanal is pulled out alive from underneath fallen floors http://t.co/kKCiImlIau #NepalEarthquake http…"	affected_people_and_evacuations	after§§§0.0 82§§§0.0 hours§§§0.0 ,§§§0.0 rishi§§§0.11 khanal§§§0.11 is§§§0.1 pulled§§§0.11 out§§§0.12 alive§§§0.11 from§§§0.0 underneath§§§0.0 fallen§§§0.0 floors§§§0.0 #nepalearthquake§§§0.0 …§§§0.0
"Nepal earthquake: Eight million people affected, UN says http://t.co/kXMLYv8zeQ via BBC"	affected_people_and_evacuations	nepal§§§0.0 earthquake§§§0.0 :§§§0.01 eight§§§0.25 million§§§0.25 people§§§0.25 affected§§§0.25 ,§§§0.0 un§§§0.0 says§§§0.0 via§§§0.0 bbc§§§0.0
RT @ZacEfron: Nepal needs our help. Please text REDCROSS to 90999 to give $10 for relief or visit http://t.co/e1KQCsHpB6 to donate. http://…	not_related_or_irrelevant	nepal§§§0.04 needs§§§0.04 our§§§0.04 help§§§0.04 .§§§0.03 please§§§0.04 text§§§0.04 redcross§§§0.04 to§§§0.04 90999§§§0.04 to§§§0.04 give§§§0.04 $10§§§0.04 for§§§0.04 relief§§§0.04 or§§§0.04 visit§§§0.04 to§§§0.04 donate§§§0.04 .§§§0.04
Several Britons are among ones stranded on Mount Everest after Nepal earthquake ...	affected_people_and_evacuations	several§§§0.14 britons§§§0.15 are§§§0.14 among§§§0.14 ones§§§0.14 stranded§§§0.14 on§§§0.0 mount§§§0.0 everest§§§0.0 after§§§0.0 nepal§§§0.0 earthquake§§§0.0 ...§§§0.0
"RT @nwarikoo: In Nepal,""Israel evacuates surrogate babies, leaves mothers behind."" Gay Israeli couples rent Indian wombs for babies http://…"	affected_people_and_evacuations	in§§§0.0 nepal§§§0.0 ,§§§0.0 ""§§§0.0 israel§§§0.05 evacuates§§§0.14 surrogate§§§0.14 babies§§§0.14 ,§§§0.05 leaves§§§0.06 mothers§§§0.08 behind§§§0.06 .§§§0.0 ""§§§0.0 gay§§§0.0 israeli§§§0.0 couples§§§0.0 rent§§§0.0 indian§§§0.0 wombs§§§0.0 for§§§0.0 babies§§§0.0
"RT @salokya: Kathmandu Intl Airport is not closed for 4 pm says airport officials, It was closed for few moment after aftershock. Now resum…"	infrastructure_and_utilities_damage	kathmandu§§§0.09 intl§§§0.09 airport§§§0.09 is§§§0.09 not§§§0.09 closed§§§0.09 for§§§0.09 4§§§0.09 pm§§§0.09 says§§§0.0 airport§§§0.0 officials§§§0.0 ,§§§0.0 it§§§0.0 was§§§0.0 closed§§§0.02 for§§§0.0 few§§§0.0 moment§§§0.0 after§§§0.0 aftershock§§§0.0 .§§§0.0 now§§§0.0 resum§§§0.0 …§§§0.0
